battery_id,model_name,number_of_discharge_cycles,number_of_train_cycles,number_of_test_cycles,number_of_train_rows,number_of_test_rows,train_rmse_v,test_rmse_v,train_mae_v,test_mae_v,baseline_intercept,coef_soc,coef_soc_squared,coef_soc_cubed,coef_discharge_current_a
B0041,hybrid_residual_without_temperature,67,46,21,1766,6084,0.007089083911412265,0.08683501870568475,0.0031418213370413336,0.05631787878589327,2.554895249540459,5.256969987334033,-9.52637625575636,5.843776238308905,-0.07321955993581408
B0041,mlp_hybrid_residual_without_temperature,67,46,21,1766,6084,0.028806213083515726,0.7525096195726305,0.01220330387950321,0.6362627576249223,2.554895249540459,5.256969987334033,-9.52637625575636,5.843776238308905,-0.07321955993581408
B0041,temperature_aware_hybrid_residual,67,46,21,1766,6084,0.008060010962539296,0.14995230758053898,0.0037060771047625566,0.0873858531234717,2.554895249540459,5.256969987334033,-9.52637625575636,5.843776238308905,-0.07321955993581408
B0052,physics_inspired_baseline,4,2,2,442,521,0.10125388310515351,0.12164357427214645,0.08614658627431501,0.1125227418022992,3.1691753944195318,2.648019556434527,-4.321341940680494,2.500170983742572,-0.23634173088944238
B0052,hybrid_residual_without_temperature,4,2,2,442,521,0.0027481260319023697,0.05040548403690965,0.0008369221964860837,0.04502320406330585,3.1691753944195318,2.648019556434527,-4.321341940680494,2.500170983742572,-0.23634173088944238
B0052,mlp_hybrid_residual_without_temperature,4,2,2,442,521,0.005828686296920633,0.2657069487899249,0.0032879294755575206,0.23701360456313483,3.1691753944195318,2.648019556434527,-4.321341940680494,2.500170983742572,-0.23634173088944238
B0052,temperature_aware_hybrid_residual,4,2,2,442,521,0.0029614354216015272,0.048651026391623796,0.000887663185332069,0.04383549874766629,3.1691753944195318,2.648019556434527,-4.321341940680494,2.500170983742572,-0.23634173088944238
B0055,physics_inspired_baseline,102,71,31,14092,5139,0.06010878473415047,0.04832166464223977,0.03911414638888719,0.037941542831473114,3.0172923912515657,3.688343373753639,-6.44827967831981,3.9386739039940557,-0.17638856491891097
B0055,hybrid_residual_without_temperature,102,71,31,14092,5139,0.00843911081121392,0.031091369750046397,0.006240436700087742,0.021771303975861828,3.0172923912515657,3.688343373753639,-6.44827967831981,3.9386739039940557,-0.17638856491891097
B0055,mlp_hybrid_residual_without_temperature,102,71,31,14092,5139,0.01864829875877301,0.07254347601092469,0.012149136180407917,0.049974801850669624,3.0172923912515657,3.688343373753639,-6.44827967831981,3.9386739039940557,-0.17638856491891097
B0055,temperature_aware_hybrid_residual,102,71,31,14092,5139,0.007896912384643998,0.023747743582179296,0.005328812151529929,0.015934842244216825,3.0172923912515657,3.688343373753639,-6.44827967831981,3.9386739039940557,-0.17638856491891097
B0056,physics_inspired_baseline,102,71,31,14392,5237,0.045332398313834864,0.03199458070270491,0.025947535370815327,0.027551129961503915,3.159909506077882,2.5812989899929293,-3.9743523416673066,2.40473543907746,-0.2186859773703922
B0056,hybrid_residual_without_temperature,102,71,31,14392,5237,0.008020728097244152,0.02963371526191203,0.0055360279934412015,0.022103865447083502,3.159909506077882,2.5812989899929293,-3.9743523416673066,2.40473543907746,-0.2186859773703922
B0056,mlp_hybrid_residual_without_temperature,102,71,31,14392,5237,0.015451370362356366,0.04846530248982934,0.011477561821271045,0.03630097083298794,3.159909506077882,2.5812989899929293,-3.9743523416673066,2.40473543907746,-0.2186859773703922
B0056,temperature_aware_hybrid_residual,102,71,31,14392,5237,0.007039415987687795,0.027976107050137953,0.004499172721387848,0.019833070207337676,3.159909506077882,2.5812989899929293,-3.9743523416673066,2.40473543907746,-0.2186859773703922
